Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,State,Day,Month,Year,RainfallTomorrow
Launceston,6.1,11.1,1.8,NW,46.0,WNW,W,13.0,13.0,66.0,48.0,1017.4,1015.0,7.4,10.4,Yes,No,-41.4419,147.145,Tasmania,11,6,2016,0.0
Melbourne,16.4,21.7,0.2,SSE,30.0,WSW,S,13.0,17.0,68.0,52.0,1019.3,1017.4,17.5,20.2,No,No,-37.8136,144.9631,Victoria,1,4,2012,0.0
Witchcliffe,18.3,35.6,0.0,E,37.0,E,ENE,22.0,19.0,51.0,29.0,1017.8,1015.2,23.9,34.6,No,No,-34.026,115.1,Western Australia,27,2,2010,0.0
Cairns,18.8,31.4,0.0,SE,26.0,SE,NNE,13.0,15.0,65.0,54.0,1013.6,1010.0,25.1,29.7,No,No,-16.9303,145.7703,Queensland,26,4,2009,0.0
NorahHead,10.2,22.9,0.0,WNW,35.0,NNW,NW,20.0,13.0,61.0,34.0,1019.6,1016.1,15.8,21.8,No,No,-33.281,151.5791,New South Wales,1,8,2015,0.0
MelbourneAirport,4.4,20.6,0.0,N,33.0,N,NE,11.0,13.0,71.0,40.0,1025.6,1021.4,12.2,20.0,No,No,-37.8136,144.9631,Victoria,11,9,2012,0.0
Hobart,10.5,12.0,10.2,SSE,46.0,S,SSE,24.0,28.0,86.0,89.0,1011.7,1014.6,11.0,10.4,Yes,Yes,-42.8806,147.325,Tasmania,29,10,2011,3.0
Moree,1.6,22.2,0.0,NE,28.0,ENE,ENE,15.0,6.0,36.0,19.0,1030.3,1027.0,12.6,21.9,No,No,-29.465,149.8344,New South Wales,8,8,2014,0.0
PerthAirport,12.6,17.2,19.0,N,54.0,NNE,NNE,13.0,17.0,97.0,78.0,1008.0,1002.7,13.1,16.9,Yes,Yes,-31.9522,115.8589,Western Australia,12,8,2010,19.2
Williamtown,13.9,29.2,0.0,NW,43.0,WNW,WNW,22.0,30.0,83.0,25.0,1018.0,1015.2,19.3,28.3,No,No,-32.80899676,151.8389966,New South Wales,26,3,2015,0.0
